건물명,주소,유형,층수,담당자,연락처
"강남드림빌","서울특별시 강남구 양재대로 344-27",commercial,4,강남소방서,02-3445-0119
"금종빌딩","서울특별시 강남구 논현로20길 12",commercial,6,강남소방서,02-3445-0119
"안트레","서울특별시 강남구 논현로12길 9-9",residential,6,강남소방서,02-3445-0119
"메이븐빌딩","서울특별시 강남구 논현로 40",commercial,8,강남소방서,02-3445-0119
"스타빌","서울특별시 강남구 논현로2길 45",residential,6,강남소방서,02-3445-0119
"예지어린이집","서울특별시 강남구 언주로7길 23",commercial,3,강남소방서,02-3445-0119
"리치포레","서울특별시 강남구 개포로22길 49-5",residential,6,강남소방서,02-3445-0119
"한별2","서울특별시 강남구 논현로20길 20",commercial,6,강남소방서,02-3445-0119
"씨앤와이빌","서울특별시 강남구 개포로15길 3-16",residential,6,강남소방서,02-3445-0119
"런던빌 개포","서울특별시 강남구 논현로 48",commercial,8,강남소방서,02-3445-0119
"개포더샵트리에","서울특별시 강남구 개포로 311",residential,16,강남소방서,02-3445-0119
"파인힐레지던스 개포","서울특별시 강남구 논현로4길 16",residential,6,강남소방서,02-3445-0119
"대고샤인빌","서울특별시 강남구 논현로6길 30-5",commercial,6,강남소방서,02-3445-0119
"개포4복합문화센터","서울특별시 강남구 개포로24길 33",commercial,5,강남소방서,02-3445-0119
"개포자이르네","서울특별시 강남구 언주로7길 6",commercial,10,강남소방서,02-3445-0119
"성아빌","서울특별시 강남구 논현로14길 10",commercial,6,강남소방서,02-3445-0119
"개포유치원"","개포유치원"",commercial,1,강남소방서,02-3445-0119
"개포자이프레지던스(4단지 재건축)","서울특별시 강남구 삼성로 14",residential,35,강남소방서,02-3445-0119
"마커스나인","서울특별시 강남구 선릉로 34",commercial,8,강남소방서,02-3445-0119
"더라이트빌딩","서울특별시 강남구 선릉로10길 18-4",commercial,6,강남소방서,02-3445-0119
"개포리치빌","서울특별시 강남구 선릉로14길 23",residential,6,강남소방서,02-3445-0119
"디에이치퍼스티어아이파크(구.개포주공1단지)","서울특별시 강남구 개포로 310",residential,35,강남소방서,02-3445-0119
"대치푸르지오발라드","서울특별시 강남구 개포로 407",residential,12,강남소방서,02-3445-0119
"개포 더 힐(능인불교선양원 건물)","서울특별시 강남구 논현로4길 18",residential,6,강남소방서,02-3445-0119
"개원초등학교","서울특별시 강남구 선릉로 29",commercial,6,강남소방서,02-3445-0119
"개포동158-11근생건물","서울특별시 강남구 선릉로4길 5",commercial,8,강남소방서,02-3445-0119
"(3획지 상가동)개포1단지아파트 주택재건축정비사업","서울특별시 강남구 선릉로 27",commercial,5,강남소방서,02-3445-0119
"개현초등학교(구.개원2초등학교)","서울특별시 강남구 선릉로 15",commercial,6,강남소방서,02-3445-0119
"행정복지센터(개포주공1단지 공공청사)","서울특별시 강남구 선릉로 35",commercial,5,강남소방서,02-3445-0119
"개포동 660-1 공공청사","서울특별시 강남구 선릉로 35",commercial,5,강남소방서,02-3445-0119
